id,name,formattedAddress,lat,lng,checkinsCount,tipCount,usersCount,visitsCount,likesCount,rating,categories_ids,categories_names,ratingSignals
539445c1498e5e3ad1ad5304,пустой пляж,['Україна'],50.39533438500711,30.581183270447116,35,0,30,38,0,0,['4bf58dd8d48988d1e2941735'],['Beach'],0
4ca2cd2d750ca09385a61367,Завод Лінолеуму,"['Київ', 'Україна']",50.39552540727303,30.578980380694738,304,0,113,312,0,0,['4eb1bea83b7b6f98df247e06'],['Factory'],0
53e076a1498e04044607a824,"параша ЗАТ ЕПКТБ ""БУДПЛАСТИК""","['Деревообробна (4)', 'Видубичі', 'Україна']",50.396790441188585,30.578070689723354,5,0,3,5,0,0,['4bf58dd8d48988d130941735'],['Building'],0
