id,name,formattedAddress,lat,lng,checkinsCount,tipCount,usersCount,visitsCount,likesCount,rating,categories_ids,categories_names,ratingSignals
4fe6f86ee4b03c981bacfe2d,"Пляж ""Предмостная слободка""","['Гидропарк', 'Київ', 'Україна']",50.4379830278327,30.57334695352425,230,2,177,252,9,7.3,['4bf58dd8d48988d1e2941735'],['Beach'],13
553d0d57498e67b885fb524b,"Кафе ""Давид""",['Україна'],50.4396869377708,30.572327072002565,30,0,24,34,2,0,"['4bf58dd8d48988d1df931735', '4bf58dd8d48988d115941735']","['BBQ Joint', 'Middle Eastern Restaurant']",0
590e00a31de76577cc9a02eb,Smoky Beach,"['Київ', 'Україна']",50.439023,30.572116,2,0,2,2,0,0,"['4bf58dd8d48988d1e2941735', '4bf58dd8d48988d12f951735']","['Beach', 'Resort']",0
4ff66755f31c307dc1d1ffd0,ЖАRА Beach Club,"['Гидропарк, Предмостная слободка', 'Київ', 'Україна']",50.440149959176864,30.57149129008504,68,2,54,68,3,0,"['4bf58dd8d48988d11f941735', '4bf58dd8d48988d16d941735']","['Nightclub', 'Café']",0
4f9ac280e4b060916796ed39,Кораблик Ельбрус,['Україна'],50.436915247185404,30.57168070358848,117,0,94,121,1,0,['4bf58dd8d48988d12d951735'],['Boat or Ferry'],0
5187c040498e8b82471c65fd,Пляж Гидропарк напротив Лавры,['Україна'],50.439449852841044,30.571979083963427,990,6,982,1202,34,7.2,['4bf58dd8d48988d1e2941735'],['Beach'],47
51b22637498e7e09004806a4,Очеретяний Кіт,"['Гидропарк', 'Київ', 'Україна']",50.43908419443311,30.572407191820215,1099,32,898,1282,74,6.6,"['4bf58dd8d48988d1df931735', '4bf58dd8d48988d1cc941735', '4bf58dd8d48988d16d941735']","['BBQ Joint', 'Steakhouse', 'Café']",138
