id,name,formattedAddress,lat,lng,checkinsCount,tipCount,usersCount,visitsCount,likesCount,rating,categories_ids,categories_names,ratingSignals
5209487911d295115ae717d4,Домашняя Винодельня Пивовара-Сидродела,"['ул. Бобринецкая', 'Київ', 'Україна']",50.476603914067354,30.678054920768485,3,0,2,3,0,0,['4eb1bea83b7b6f98df247e06'],['Factory'],0
54180058498ea81a170a3aa5,маршрутка 402,"['Бровари', 'Бровари', 'Україна']",50.47411637448749,30.67836940546061,22,0,22,24,0,0,['52f2ab2ebcbc57f1066b8b4f'],['Bus Stop'],0
565f7b75498e4bd30db878d3,Берлога Обезьянки🙊,['Україна'],50.474874200996744,30.678484044597425,69,0,20,113,0,0,['4f2a210c4b9023bd5841ed28'],['Housing Development'],0
4f4a4baf6d86aa3c0b91fcbd,Остановка 3-я Быковня,"['Броварской проспект', 'Київ, 02089', 'Україна']",50.47405829669632,30.678259134292603,394,1,99,442,0,0,['4bf58dd8d48988d12b951735'],['Bus Line'],0
