id,name,formattedAddress,lat,lng,checkinsCount,tipCount,usersCount,visitsCount,likesCount,rating,categories_ids,categories_names,ratingSignals
51bca24c498e1f990fbe3f07,New Bridge,['Україна'],50.41443829362855,30.5786438512797,83,0,38,85,0,0,['4bf58dd8d48988d1ef941735'],['Rental Car Location'],0
5129ef38e4b0d9d005230a4a,Мостоотряд 2,['Україна'],50.41466386845069,30.580300731396445,7,0,5,7,0,0,['4bf58dd8d48988d1e1941735'],['Basketball Court'],0
55ec57be498e8edb0a33dfdf,Замок,"['Набережно Печерская дорога5', 'Київ', 'Україна']",50.418629572617,30.579448935745255,19,0,25,28,0,0,['4bf58dd8d48988d120951735'],['Food Court'],0
4c3864251e06d13a3b9c773e,Дарницький залізничний міст,"['Набережно-печерська дорога', 'Київ', 'Україна']",50.41639377795106,30.588426589965817,4157,14,1910,4163,28,0,['4bf58dd8d48988d1df941735'],['Bridge'],0
4dccbd07d4c065592f5561f0,Дарницький автомобільний міст (Міст Кірпи),"['Дарницький міст', 'Київ', 'Україна']",50.41569,30.586233,9071,17,4199,11619,104,0,"['4bf58dd8d48988d1df941735', '4bf58dd8d48988d1f9931735']","['Bridge', 'Road']",0
