id,name,formattedAddress,lat,lng,checkinsCount,tipCount,usersCount,visitsCount,likesCount,rating,categories_ids,categories_names,ratingSignals
54b136a8498e36f244adf448,VIP APARTMENT,"['Хрещатик 25', 'Київ, 01001', 'Україна']",50.411655684173354,30.62304637844292,1,1,1,1,0,0,['4bf58dd8d48988d1fa931735'],['Hotel'],0
50c38b86e4b00fec699f2389,4eX House,['Україна'],50.41108048035866,30.62409831614631,179,1,8,180,3,0,"['4d954b06a243a5684965b473', '4bf58dd8d48988d103941735']","['Residential Building (Apartment / Condo)', 'Home (private)']",0
52cd6646498eb63274681910,Pole Dance 'Favorit',"['Ул. Ахматова 16б', 'Україна']",50.41210407015155,30.62413347075092,7,1,2,7,1,0,['4bf58dd8d48988d134941735'],['Dance Studio'],0
5269121511d252f4a46a16ba,Детская Площадка на Григоренко 12,"['Григоренко 12', 'Україна']",50.411317652171704,30.62409863023684,47,0,32,51,0,0,['4bf58dd8d48988d1e7941735'],['Playground'],0
55f838c0498eccacd9f586ac,Дитяча Площадка Григоренка 20а,"['Григоренка (20а)', 'Київ', 'Україна']",50.41196255522203,30.62392124906359,9,0,8,13,0,0,['4bf58dd8d48988d1e7941735'],['Playground'],0
574bfa66498e06bb52f47287,Баскетбольный майданчик,['Україна'],50.411357,30.62351,17,0,7,20,0,0,['4bf58dd8d48988d1e1941735'],['Basketball Court'],0
5418826c498ea81a17174c8f,A & M homme♥,['Україна'],50.41263021181939,30.62523403178757,2,0,2,2,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
57d57c77cd10e323f26b9cc6,Арбузная точка на Григоренко,['Україна'],50.412739,30.625281,4,0,1,4,0,0,['50be8ee891d4fa8dcc7199a7'],['Market'],0
51857004498ea34fbd7e2cfe,Sasha's Home ,['Україна'],50.41275244685748,30.62474575023722,11,0,2,11,0,0,"['4d954b06a243a5684965b473', '4bf58dd8d48988d103941735']","['Residential Building (Apartment / Condo)', 'Home (private)']",0
51b5d3ad498e28cccde23c6f,Пр Петра Григоренка 22/20,['Україна'],50.41284934296033,30.625409467337676,8,0,8,8,0,0,['4bf58dd8d48988d110951735'],['Salon / Barbershop'],0
51bb1b49498e5fdf5d0ac888,"Жилой Дом (Григоренко ,12)","['Григоренко 12', 'Київ', 'Україна']",50.412469779178544,30.625337048862455,3,0,3,3,1,0,"['4f2a210c4b9023bd5841ed28', '4bf58dd8d48988d103941735']","['Housing Development', 'Home (private)']",0
54e4ac86498ea9b6391285ff,Урловская 13,['Україна'],50.412281133943644,30.624435695594176,5,0,5,5,0,0,['4bf58dd8d48988d104941735'],['Medical Center'],0
510da153e4b07691903ea471,Палыч Home,['Україна'],50.4123473338572,30.624303679884843,3,0,1,3,0,0,"['4d954b06a243a5684965b473', '4bf58dd8d48988d103941735']","['Residential Building (Apartment / Condo)', 'Home (private)']",0
57265afe498e8558a803debc,дом Таюшки,"['Григоренка 14', 'Київ', 'Україна']",50.412353,30.624342,1,0,1,1,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
566d9bf7498eb66b02195e4d,мойка(в паркинге подземном),"['Григоренко 18а', 'Україна']",50.412342,30.624448,17,0,1,17,0,0,['4f04ae1f2fb6e1c99f3db0ba'],['Car Wash'],0
53bb096a498e186a844de464,Драфти Хоум,['Україна'],50.4122478955017,30.624324270223205,89,0,11,97,1,0,['4bf58dd8d48988d1e1931735'],['Arcade'],0
519134fb498e2b0780949d76,252 ступеньки,['Україна'],50.41248944377071,30.624422550673295,154,0,25,181,0,0,['4bf58dd8d48988d176941735'],['Gym'],0
537330b8498e426394ef45d3,Круссан Cafe,"['Григоренко 22/20', 'Київ', 'Україна']",50.41238836006459,30.624513637112535,101,1,26,121,3,0,['4bf58dd8d48988d1e0931735'],['Coffee Shop'],0
